mission,mission_country,mission_country_iso_3,mission_hq,mission_hq_longitude,mission_hq_latitude,mission_continent,mission_region,mission_un_bloc,mission_p5g4a3,mission_nam,mission_g77,mission_au,mission_arab_league,mission_oic,mission_cis,mission_g20,mission_eu,mission_nato,mission_g8,mission_oecd,mission_asean,mission_oas,mission_shanghai,mission_gcc,mission_uma,mission_comesa,mission_censad,mission_eac,mission_eccas,mission_ecowas,mission_igad,mission_sadc
UNMC,Colombia,COL,NA,0,0,South America,South America,GRULAC,None,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
UNSOS,Somalia,SOM,Mogadishu,2.0333,45.35,Africa,Eastern Africa,AG,None,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
UNMC,Colombia,COL,Bogota,-74.0636,4.6243,South America,South America,GRULAC,None,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
UNIOGBIS,Guinea-Bissau,GNB,Bissau,-15.5976,11.8635,Africa,Western Africa,AG,None,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
UNOWAS,Senegal,SEN,Dakar,-17.444,14.6937,Africa,Western Africa,AG,None,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
UNSMIL,Libya,SEN,Tripoli,13.1801,32.8853,Africa,Western Africa,AG,None,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
UNVMC,Colombia,COL,Bogota,-74.0636,4.6243,South America,South America,GRULAC,None,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MINUJUSTH,Haiti,HTI,Port-au-Prince,18.5333,-72.3333,South America,Caribbean,GRULAC,None,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
UNVMC,Colombia,COL,NA,0,0,South America,South America,GRULAC,None,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
UNMHA,Yemen,YEM,Al Hudaydah,14.7909,42.9709,Asia,Western Asia,APG,None,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BINUH,Haiti,HTI,Port-au-Prince,18.5333,-72.3333,South America,Caribbean,GRULAC,None,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
